id,label,modality,original,labeler_0,labeler_1,labeler_2,labeler_3
-0vPFx-wRRI_000030,male singing,audible,False,False,,True,True
-0vPFx-wRRI_000030,male singing,visible,False,False,,True,True
-0vPFx-wRRI_000030,people finger snapping,audible,True,True,True,True,True
-0vPFx-wRRI_000030,people finger snapping,visible,True,True,True,True,True
-0vPFx-wRRI_000030,people humming,audible,False,True,,,
-0vPFx-wRRI_000030,people humming,visible,False,True,,,
-0vPFx-wRRI_000030,playing harp,audible,False,False,,,
-0vPFx-wRRI_000030,playing harp,visible,False,False,,,
-M7ZNV6gLo0_000310,bird squawking,audible,True,False,True,False,True
-M7ZNV6gLo0_000310,bird squawking,visible,True,False,False,False,True
-M7ZNV6gLo0_000310,"female speech, woman speaking",audible,False,,True,True,True
-M7ZNV6gLo0_000310,"female speech, woman speaking",visible,False,,False,False,True
-M7ZNV6gLo0_000310,"railroad car, train wagon",audible,False,,,,False
-M7ZNV6gLo0_000310,"railroad car, train wagon",visible,False,,,,True
-OEJFMpQ-ko_000159,"child speech, kid speaking",audible,False,,True,,True
-OEJFMpQ-ko_000159,"child speech, kid speaking",visible,False,,True,,True
-OEJFMpQ-ko_000159,"female speech, woman speaking",audible,False,,,True,True
-OEJFMpQ-ko_000159,"female speech, woman speaking",visible,False,,,False,False
-OEJFMpQ-ko_000159,playing darts,audible,True,True,True,True,True
-OEJFMpQ-ko_000159,playing darts,visible,True,True,True,True,True
-Q_UXiwWR_c_000030,car engine starting,audible,False,True,True,True,True
-Q_UXiwWR_c_000030,car engine starting,visible,False,True,True,True,True
-Q_UXiwWR_c_000030,car passing by,audible,True,True,True,False,True
-Q_UXiwWR_c_000030,car passing by,visible,True,True,True,False,True
-Q_UXiwWR_c_000030,"engine accelerating, revving, vroom",audible,False,,,True,
-Q_UXiwWR_c_000030,"engine accelerating, revving, vroom",visible,False,,,True,
-Q_UXiwWR_c_000030,male singing,audible,False,,,,True
-Q_UXiwWR_c_000030,male singing,visible,False,,,,False
-Q_UXiwWR_c_000030,"male speech, man speaking",audible,False,,True,True,
-Q_UXiwWR_c_000030,"male speech, man speaking",visible,False,,False,True,
-Q_UXiwWR_c_000030,playing drum kit,audible,False,,,True,
-Q_UXiwWR_c_000030,playing drum kit,visible,False,,,False,
-Q_UXiwWR_c_000030,playing synthesizer,audible,False,,,True,
-Q_UXiwWR_c_000030,playing synthesizer,visible,False,,,False,
-Q_UXiwWR_c_000030,rapping,audible,False,,,True,True
-Q_UXiwWR_c_000030,rapping,visible,False,,,False,False
-aK9JKAGme0_000051,"bird chirping, tweeting",audible,False,,True,True,True
-aK9JKAGme0_000051,"bird chirping, tweeting",visible,False,,False,False,False
-aK9JKAGme0_000051,canary calling,audible,False,,False,,
-aK9JKAGme0_000051,canary calling,visible,False,,False,,
-aK9JKAGme0_000051,car engine idling,audible,False,,,True,
-aK9JKAGme0_000051,car engine idling,visible,False,,,True,
-aK9JKAGme0_000051,car engine starting,audible,False,,,,True
-aK9JKAGme0_000051,car engine starting,visible,False,,,,False
-aK9JKAGme0_000051,cheetah chirrup,audible,True,True,True,True,True
-aK9JKAGme0_000051,cheetah chirrup,visible,True,True,True,True,True
-aK9JKAGme0_000051,"engine accelerating, revving, vroom",audible,False,,True,,
-aK9JKAGme0_000051,"engine accelerating, revving, vroom",visible,False,,False,,
-aK9JKAGme0_000051,people whispering,audible,False,,True,,
-aK9JKAGme0_000051,people whispering,visible,False,,False,,
-aK9JKAGme0_000051,wind noise,audible,False,,,,True
-aK9JKAGme0_000051,wind noise,visible,False,,,,False
-nJbGyPg6BY_000060,"female speech, woman speaking",audible,False,,True,,True
-nJbGyPg6BY_000060,"female speech, woman speaking",visible,False,,True,,True
-nJbGyPg6BY_000060,"male speech, man speaking",audible,False,,True,True,True
-nJbGyPg6BY_000060,"male speech, man speaking",visible,False,,True,True,True
-nJbGyPg6BY_000060,people booing,audible,False,True,True,False,False
-nJbGyPg6BY_000060,people booing,visible,False,False,False,False,False
-nJbGyPg6BY_000060,people cheering,audible,False,,,True,
-nJbGyPg6BY_000060,people cheering,visible,False,,,False,
-nJbGyPg6BY_000060,people clapping,audible,True,True,True,True,True
-nJbGyPg6BY_000060,people clapping,visible,True,False,False,False,True
-nJbGyPg6BY_000060,people crowd,audible,False,,,True,
-nJbGyPg6BY_000060,people crowd,visible,False,,,False,
-nJbGyPg6BY_000060,people whistling,audible,False,True,True,False,False
-nJbGyPg6BY_000060,people whistling,visible,False,False,False,False,False
-zIrltLewfc_000194,"bird chirping, tweeting",audible,False,True,True,True,True
-zIrltLewfc_000194,"bird chirping, tweeting",visible,False,False,False,True,True
-zIrltLewfc_000194,playing harp,audible,False,False,,,
-zIrltLewfc_000194,playing harp,visible,False,False,,,
-zIrltLewfc_000194,warbler chirping,audible,True,True,False,False,True
-zIrltLewfc_000194,warbler chirping,visible,True,False,False,False,True
-zIrltLewfc_000194,wind noise,audible,False,,,True,True
-zIrltLewfc_000194,wind noise,visible,False,,,False,False
-zIrltLewfc_000194,wind rustling leaves,audible,False,,,False,True
-zIrltLewfc_000194,wind rustling leaves,visible,False,,,True,True
04QV0Xi5YTk_000030,playing zither,audible,True,True,True,True,True
04QV0Xi5YTk_000030,playing zither,visible,True,True,True,True,True
0T39A4knSu4_000057,elephant trumpeting,audible,True,True,True,True,True
0T39A4knSu4_000057,elephant trumpeting,visible,True,True,True,True,True
0T39A4knSu4_000057,"female speech, woman speaking",audible,False,,True,True,True
0T39A4knSu4_000057,"female speech, woman speaking",visible,False,,False,False,False
0T39A4knSu4_000057,people screaming,audible,False,,True,,
0T39A4knSu4_000057,people screaming,visible,False,,False,,
0T39A4knSu4_000057,playing drum kit,audible,False,,True,,
0T39A4knSu4_000057,playing drum kit,visible,False,,False,,
0T39A4knSu4_000057,playing tambourine,audible,False,,False,,
0T39A4knSu4_000057,playing tambourine,visible,False,,False,,
0UeEkqkZmvo_000160,playing acoustic guitar,audible,False,True,True,True,True
0UeEkqkZmvo_000160,playing acoustic guitar,visible,False,True,True,True,True
0UeEkqkZmvo_000160,playing bass guitar,audible,False,,True,,
0UeEkqkZmvo_000160,playing bass guitar,visible,False,,True,,
0UeEkqkZmvo_000160,playing cymbal,audible,False,,,,True
0UeEkqkZmvo_000160,playing cymbal,visible,False,,,,True
0UeEkqkZmvo_000160,playing drum kit,audible,False,True,True,True,True
0UeEkqkZmvo_000160,playing drum kit,visible,False,True,True,True,True
0UeEkqkZmvo_000160,playing electric guitar,audible,False,,,True,True
0UeEkqkZmvo_000160,playing electric guitar,visible,False,,,True,True
0UeEkqkZmvo_000160,playing snare drum,audible,False,,,True,True
0UeEkqkZmvo_000160,playing snare drum,visible,False,,,True,True
