video_id,label,modality,background_music,static_image,voice_over
--U7joUcTCo_000000,"male speech, man speaking",AV,False,False,False
--U7joUcTCo_000000,people belly laughing,AV,False,False,False
--U7joUcTCo_000000,people coughing,AV,False,False,False
--U7joUcTCo_000000,people sniggering,AV,False,False,False
--i-y1v8Hy8_000000,child singing,AV,False,False,False
--i-y1v8Hy8_000000,"child speech, kid speaking",AV,False,False,False
--i-y1v8Hy8_000000,"female speech, woman speaking",AV,False,False,False
-0BIyqJj9ZU_000030,baby laughter,A,False,False,False
-0BIyqJj9ZU_000030,"child speech, kid speaking",A,False,False,False
-0BIyqJj9ZU_000030,"male speech, man speaking",AV,False,False,False
-0BIyqJj9ZU_000030,people belly laughing,AV,False,False,False
-0BIyqJj9ZU_000030,people giggling,AV,False,False,False
-0BIyqJj9ZU_000030,people sniggering,AV,False,False,False
-0BIyqJj9ZU_000030,wind noise,A,False,False,False
-0UuUoXQUoI_000107,playing double bass,AV,False,False,False
-0Zg_dXR_6I_000013,fire crackling,AV,False,False,False
-0Zg_dXR_6I_000013,missile launch,AV,False,False,False
-0Zg_dXR_6I_000013,wind noise,A,False,False,False
-0p7hKXZ1ww_000030,fireworks banging,AV,False,False,False
-0p7hKXZ1ww_000030,footsteps on snow,AV,False,False,False
-0p7hKXZ1ww_000030,lighting firecrackers,AV,False,False,False
-0p7hKXZ1ww_000030,"male speech, man speaking",AV,False,False,False
-0p7hKXZ1ww_000030,people sniggering,A,False,False,False
-0pJqpNjft4_000267,car engine starting,A,False,False,False
-0pJqpNjft4_000267,cattle mooing,AV,False,False,False
-0pJqpNjft4_000267,cow lowing,AV,False,False,False
-0pJqpNjft4_000267,"male speech, man speaking",A,False,False,False
-0pJqpNjft4_000267,people whistling,A,False,False,False
-0pJqpNjft4_000267,wind noise,A,False,False,False
-0pJqpNjft4_000267,wind rustling leaves,A,False,False,False
-0vPFx-wRRI_000030,male singing,AV,False,False,False
-0vPFx-wRRI_000030,people finger snapping,AV,False,False,False
-0vPFx-wRRI_000030,people humming,AV,False,False,False
-0yRK50zyTI_000030,"male speech, man speaking",AV,False,False,False
-0yRK50zyTI_000030,ripping paper,AV,False,False,False
-1EXhfqLLwQ_000150,sloshing water,AV,False,False,False
-1EXhfqLLwQ_000150,splashing water,AV,False,False,False
-1pRmoJIGQc_000010,car engine idling,AV,False,False,False
-1pRmoJIGQc_000010,car engine starting,AV,False,False,False
-1pRmoJIGQc_000010,car passing by,A,False,False,False
-1pRmoJIGQc_000010,"engine accelerating, revving, vroom",AV,False,False,False
-2-wdcN5vOw_000017,"railroad car, train wagon",AV,False,False,False
-2-wdcN5vOw_000017,"subway, metro, underground",AV,False,False,False
-2-wdcN5vOw_000017,wind noise,A,False,False,False
-23CeprtibU_000030,chainsawing trees,AV,False,False,False
-2Dm0VjW8oM_000001,"bird chirping, tweeting",A,False,False,False
-2Dm0VjW8oM_000001,"pigeon, dove cooing",AV,False,False,False
-2RPPODqLy4_000030,"male speech, man speaking",AV,False,False,False
-2RPPODqLy4_000030,playing acoustic guitar,AV,False,False,False
-2sE5CH8Wb8_000030,printer printing,AV,False,False,False
-2sOH8XovEE_000484,"female speech, woman speaking",A,False,False,True
-2sOH8XovEE_000484,"male speech, man speaking",A,False,False,True
-2sOH8XovEE_000484,playing badminton,AV,False,False,True
-2sOH8XovEE_000484,playing table tennis,AV,False,False,True
-2xiZDEuHd8_000030,"child speech, kid speaking",A,False,False,False
-2xiZDEuHd8_000030,pig oinking,AV,False,False,False
-3-4qmWSJXU_000030,car engine starting,AV,False,False,False
-3-4qmWSJXU_000030,car passing by,V,False,False,False
-3-4qmWSJXU_000030,raining,AV,False,False,False
-3-4qmWSJXU_000030,wind noise,A,False,False,False
-3RH8_aeZkk_000105,"male speech, man speaking",AV,False,False,True
-3YWuPXHknk_000030,car engine idling,AV,False,False,False
-3YWuPXHknk_000030,car engine starting,AV,False,False,False
-3YWuPXHknk_000030,opening or closing car doors,AV,False,False,False
-3rHVsIj1M8_000030,bird wings flapping,AV,False,False,False
-3rHVsIj1M8_000030,"engine accelerating, revving, vroom",AV,False,False,False
-3rHVsIj1M8_000030,"motorboat, speedboat acceleration",AV,False,False,False
-3rHVsIj1M8_000030,sea waves,AV,False,False,False
-3rHVsIj1M8_000030,wind noise,A,False,False,False
-3z5mFRgbxc_000030,driving buses,A,False,False,True
-3z5mFRgbxc_000030,"male speech, man speaking",A,False,False,True
-40nDU5Ecgg_000130,baby laughter,A,False,False,False
-40nDU5Ecgg_000130,"donkey, ass braying",AV,False,False,False
-40nDU5Ecgg_000130,people sniggering,A,False,False,False
-42aitlKedE_000574,"male speech, man speaking",AV,False,False,False
-42aitlKedE_000574,people crowd,V,False,False,False
-42aitlKedE_000574,striking pool,AV,False,False,False
-4DpBHTuc88_000075,playing electronic organ,AV,False,False,False
-4DpBHTuc88_000075,playing piano,AV,False,False,False
-4bPiXbovf0_000008,air conditioning noise,AV,False,False,False
-5z9IXBJefc_000227,playing djembe,AV,False,False,False
-5z9IXBJefc_000227,playing drum kit,AV,False,False,False
-5z9IXBJefc_000227,playing tambourine,A,False,False,False
-615mGonUqU_000232,baltimore oriole calling,AV,False,False,False
-615mGonUqU_000232,"bird chirping, tweeting",AV,False,False,False
-615mGonUqU_000232,bird squawking,AV,False,False,False
-615mGonUqU_000232,duck quacking,AV,False,False,False
-6u76q0L5o8_000067,civil defense siren,AV,False,True,False
-6u76q0L5o8_000067,"female speech, woman speaking",AV,False,True,False
-79qo5MUYBk_000207,"railroad car, train wagon",AV,False,False,False
-79qo5MUYBk_000207,train horning,AV,False,False,False
-79qo5MUYBk_000207,train wheels squealing,AV,False,False,False
-79qo5MUYBk_000207,train whistling,A,False,False,False
-7IhwezUrUA_000590,chopping wood,AV,False,False,False
-7IhwezUrUA_000590,"male speech, man speaking",AV,False,False,False
-7YESdyyHVw_000010,"cattle, bovinae cowbell",A,False,False,False
-7YESdyyHVw_000010,sheep bleating,AV,False,False,False
-7sg--aJdrc_000049,chimpanzee pant-hooting,AV,False,False,False
-7sg--aJdrc_000049,gibbon howling,AV,False,False,False
-7tYmeOmsRg_000058,people eating,AV,False,False,False
-7tYmeOmsRg_000058,people eating crisps,AV,False,False,False
-7tYmeOmsRg_000180,eating with cutlery,AV,False,False,False
-7tYmeOmsRg_000180,"female speech, woman speaking",V,False,False,False
-7tYmeOmsRg_000180,people eating,AV,False,False,False
-86gl1hp1Aw_000105,parrot talking,V,False,False,False
-8C-gydUbR8_000030,child singing,AV,False,False,False
-8C-gydUbR8_000030,female singing,AV,False,False,False
-8C-gydUbR8_000030,male singing,AV,False,False,False
-8C-gydUbR8_000030,people crowd,V,False,False,False
-8C-gydUbR8_000030,playing bass guitar,AV,False,False,False
-8C-gydUbR8_000030,playing cymbal,A,False,False,False
-8C-gydUbR8_000030,playing drum kit,AV,False,False,False
-8C-gydUbR8_000030,playing snare drum,A,False,False,False
-8lzdlqUtJQ_000061,"alligators, crocodiles hissing",AV,False,False,False
-8lzdlqUtJQ_000061,"bird chirping, tweeting",A,False,False,False
-A3zsFeU_OI_000030,"female speech, woman speaking",AV,False,False,False
-A3zsFeU_OI_000030,people sniggering,AV,False,False,False
-ABOfhcXwt8_000017,"female speech, woman speaking",A,False,False,False
-ABOfhcXwt8_000017,"male speech, man speaking",A,False,False,False
-ABOfhcXwt8_000017,people cheering,AV,False,False,False
-ABOfhcXwt8_000017,people crowd,AV,False,False,False
-ABOfhcXwt8_000017,people running,AV,False,False,False
-ABOfhcXwt8_000017,people screaming,AV,False,False,False
-AIzKe9X0hA_000006,"subway, metro, underground",A,False,False,False
-AIzKe9X0hA_000006,wind noise,A,False,False,False
-AIzKe9X0hA_000006,wind rustling leaves,AV,False,False,False
-AMsYmKRnWE_000008,bird squawking,AV,False,False,False
-ANxUxvGASw_000010,"railroad car, train wagon",AV,False,False,False
-ANxUxvGASw_000010,"subway, metro, underground",AV,False,False,False
-ANxUxvGASw_000010,train whistling,A,False,False,False
-AeiYb4vDK0_000340,"male speech, man speaking",A,False,False,True
-Am9MfJ6Z2o_000060,"child speech, kid speaking",A,False,False,True
-Am9MfJ6Z2o_000060,"male speech, man speaking",A,False,False,True
-Am9MfJ6Z2o_000060,people crowd,AV,False,False,True
-BftHoV-kXI_000168,"female speech, woman speaking",A,False,False,False
-BftHoV-kXI_000168,swimming,AV,False,False,False
-BftHoV-kXI_000168,underwater bubbling,AV,False,False,False
-By6I234TSs_000010,playing synthesizer,AV,False,False,False
-ByoSbgzr4M_000000,playing electric guitar,AV,False,False,False
-CZ1LIc8aos_000020,car passing by,AV,False,False,False
-CZ1LIc8aos_000020,"engine accelerating, revving, vroom",AV,False,False,False
-CZ1LIc8aos_000020,people belly laughing,A,False,False,False
-CZ1LIc8aos_000020,people giggling,A,False,False,False
-CZ1LIc8aos_000020,"race car, auto racing",AV,False,False,False
-Cr0WQoFQQs_000045,elk bugling,AV,False,False,False
-Cr0WQoFQQs_000045,wind noise,A,False,False,False
-Cv3gOXEoxA_000040,chicken clucking,A,False,False,False
-Cv3gOXEoxA_000040,dog baying,AV,False,False,False
-Cv3gOXEoxA_000040,wind rustling leaves,AV,False,False,False
-D64b_8YJK4_000046,barn swallow calling,AV,False,False,False
-D64b_8YJK4_000046,"bird chirping, tweeting",AV,False,False,False
-D64b_8YJK4_000046,wind noise,A,False,False,False
-DwwSHC2jLs_000102,"male speech, man speaking",AV,False,False,False
-DwwSHC2jLs_000102,playing cello,AV,False,False,False
-E5o64ACjm0_000017,electric grinder grinding,AV,False,False,False
-E5o64ACjm0_000017,lathe spinning,AV,False,False,False
-Ezk-jIm6kM_000170,playing cello,AV,False,False,False
-Ezk-jIm6kM_000170,playing piano,AV,False,False,False
-FKrYTj_eCU_000000,cat caterwauling,AV,False,False,False
-FKrYTj_eCU_000000,cat meowing,AV,False,False,False
-FoTxwPOz3U_000000,baby babbling,AV,False,False,False
-FoTxwPOz3U_000000,"child speech, kid speaking",AV,False,False,False
-FoTxwPOz3U_000000,"female speech, woman speaking",A,False,False,False
-FoTxwPOz3U_000000,people babbling,AV,False,False,False
-FoTxwPOz3U_000000,people coughing,A,False,False,False
-FoTxwPOz3U_000000,people gargling,AV,False,False,False
-G04QpzSpbU_000020,"child speech, kid speaking",AV,False,False,False
-G04QpzSpbU_000020,"male speech, man speaking",A,False,False,False
-GLVzwHQwtw_000069,"male speech, man speaking",A,False,False,False
-GLVzwHQwtw_000069,mosquito buzzing,V,False,False,False
-GOaBCyC5Js_000087,playing cornet,AV,False,False,False
-GOaBCyC5Js_000087,playing piano,A,False,False,False
-GOaBCyC5Js_000087,playing trumpet,AV,False,False,False
-GOaBCyC5Js_000113,playing piano,AV,False,False,False
-GOaBCyC5Js_000113,playing trumpet,AV,False,False,False
-GW1J75oAKU_000304,playing ukulele,AV,False,False,False
-GW1J75oAKU_000304,"playing violin, fiddle",AV,False,False,False
